               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.022257,           0.0048403,           0.0021569,             0.93775,             0.92384,             0.96153,             0.74457,             0.02007,           0.0059618,           0.0030059,            0.003466,            0.003466,            0.003466
                  68,             0.02121,           0.0052744,           0.0021661,             0.93329,             0.92285,              0.9597,             0.73827,            0.019862,           0.0059615,           0.0031124,            0.003367,            0.003367,            0.003367
                  69,            0.020579,           0.0049668,           0.0021294,             0.94442,             0.91493,             0.96127,             0.73782,            0.020457,           0.0059446,           0.0031047,            0.003268,            0.003268,            0.003268
                  70,            0.021795,           0.0051639,           0.0022977,             0.95623,             0.90756,             0.96224,             0.73134,            0.020359,           0.0060226,           0.0031334,            0.003169,            0.003169,            0.003169
                  71,            0.019994,           0.0051932,           0.0019088,             0.91736,             0.92718,              0.9647,             0.73483,            0.019017,            0.005777,           0.0029932,             0.00307,             0.00307,             0.00307
                  72,            0.020618,           0.0050676,           0.0020103,             0.94383,             0.89961,             0.96066,             0.74255,             0.01889,            0.005836,           0.0032117,            0.002971,            0.002971,            0.002971
                  73,            0.019837,           0.0049782,           0.0021977,             0.92646,             0.90637,             0.95733,             0.75241,            0.018057,           0.0059543,           0.0030614,            0.002872,            0.002872,            0.002872
                  74,            0.020099,           0.0049468,           0.0018683,             0.93953,             0.90983,             0.96112,             0.75288,            0.019188,           0.0057935,           0.0031594,            0.002773,            0.002773,            0.002773
                  75,            0.019625,             0.00459,           0.0020322,             0.95677,             0.92002,             0.96219,             0.74453,            0.019587,           0.0058113,           0.0032029,            0.002674,            0.002674,            0.002674
                  76,            0.018644,           0.0049231,           0.0019274,             0.93494,             0.93492,             0.96331,             0.75409,            0.018803,            0.005863,           0.0032344,            0.002575,            0.002575,            0.002575
                  77,            0.018571,           0.0046941,           0.0019453,              0.9356,             0.92702,             0.96483,             0.75047,            0.019057,           0.0060498,           0.0030775,            0.002476,            0.002476,            0.002476
